chromosome	start	end	summit
chr1	29920	31389	31086
chr1	31670	32539	32056
chr1	35470	35759	35626
chr1	38540	38859	38686
chr1	41670	41979	41776
chr1	42930	44989	44586
chr1	55110	55249	55166
chr1	56110	56429	56276
chr1	61170	62739	62036
chr1	69510	70589	69806
chr1	70870	71739	71296
chr1	72720	73819	72996
chr1	78530	80129	79146
chr1	84590	85579	85376
chr1	86230	86339	86266
chr1	87520	88269	87666
chr1	95140	95239	95186
chr1	112150	112829	112486
chr1	113490	113659	113586
chr1	124140	124709	124526
chr1	129750	130029	129886
chr1	151450	151699	151616
chr1	165860	165919	165886
chr1	189850	190309	190086
chr1	198910	199799	199326
chr1	206150	206699	206286
chr1	232600	233079	232726
chr1	238150	238739	238446
chr1	239280	240329	239836
chr1	243610	244239	243996
chr1	293900	294849	294436
chr1	299220	299509	299376
chr1	302060	302329	302146
chr1	304120	304179	304136
chr1	326010	326269	326136
chr1	364100	365299	364806
chr1	409860	410509	410276
chr1	439820	440789	440336
chr1	445850	445939	445896
chr1	454560	454669	454616
chr1	463720	464149	464036
chr1	464460	464549	464506
chr1	473050	473979	473486
chr1	489230	489899	489496
chr1	562140	563379	562716
chr1	607720	608359	608166
chr1	649500	650399	650116
chr1	714060	715459	714786
chr1	718130	718299	718226
chr1	738820	739219	739026
chr1	764450	765839	765396
chr1	793580	794529	793976
chr1	842770	843229	842996
chr1	844060	844789	844356
chr1	875990	876389	876236
chr1	892240	892459	892336
chr1	902030	902669	902256
chr1	934490	935229	934886
chr1	938310	938419	938326
chr1	957040	957189	957116
chr1	964880	965779	965356
chr1	1026310	1028349	1027496
chr1	1078760	1080149	1079626
chr1	1083650	1083989	1083806
chr1	1089740	1090259	1090176
chr1	1095660	1096229	1095876
chr1	1147600	1148779	1148146
chr1	1156210	1156969	1156426
chr1	1185730	1185899	1185816
chr1	1190640	1191209	1190996
chr1	1196020	1196749	1196316
chr1	1200230	1200479	1200336
chr1	1225420	1225549	1225486
chr1	1254490	1255519	1255176
chr1	1274790	1275059	1274916
chr1	1276250	1276609	1276436
chr1	1295040	1295459	1295346
chr1	1358550	1360209	1359806
chr1	1387330	1387479	1387416
chr1	1420930	1421209	1421016
chr1	1442980	1444189	1443366
chr1	1476210	1476859	1476606
chr1	1484770	1484919	1484846
chr1	1507920	1508079	1507996
chr1	1508790	1509539	1509066
chr1	1572720	1572929	1572826
chr1	1573220	1573709	1573456
chr1	1582570	1582719	1582656
chr1	1599030	1599499	1599256
chr1	1621460	1621569	1621536
chr1	1664100	1666999	1666326
chr1	1707660	1708559	1707906
chr1	1718250	1718529	1718396
chr1	1733400	1733509	1733466
chr1	1733770	1734529	1734076
chr1	1765260	1765429	1765376
chr1	1827270	1827909	1827686
chr1	1833730	1834679	1834196
chr1	1893960	1895129	1894456
chr1	1946220	1946799	1946326
chr1	1952040	1952209	1952146
chr1	1953050	1954219	1953686
chr1	1954480	1955209	1954776
chr1	1955400	1956739	1956436
chr1	1961550	1961709	1961636
chr1	1974190	1975299	1974666
chr1	1982390	1982579	1982456
chr1	2024700	2025429	2025036
chr1	2041640	2042429	2042056
chr1	2095560	2096419	2095926
chr1	2101470	2101679	2101556
chr1	2139490	2140429	2139996
chr1	2144470	2144829	2144686
chr1	2193710	2194459	2193936
chr1	2227330	2228409	2227886
chr1	2231460	2232009	2231726
chr1	2243010	2243499	2243396
chr1	2248420	2248559	2248496
chr1	2249140	2250359	2249686
chr1	2272960	2273699	2273176
chr1	2279660	2280339	2280186
chr1	2304120	2304259	2304186
chr1	2322260	2322329	2322296
chr1	2325520	2325919	2325756
chr1	2339080	2339729	2339346
chr1	2361890	2362059	2361976
chr1	2398390	2398959	2398796
chr1	2405330	2406129	2405656
chr1	2406370	2406489	2406426
chr1	2408110	2408309	2408236
chr1	2416200	2416419	2416296
chr1	2424210	2424279	2424236
chr1	2424450	2424629	2424536
chr1	2438230	2438819	2438596
chr1	2442290	2442499	2442386
chr1	2451350	2452529	2451676
chr1	2456130	2456339	2456226
chr1	2489270	2489869	2489646
chr1	2509300	2509499	2509436
chr1	2520580	2520699	2520626
chr1	2520830	2520989	2520906
chr1	2525010	2525709	2525226
chr1	2537940	2538129	2538046
chr1	2558450	2558559	2558506
chr1	2562330	2562629	2562476
chr1	2577700	2578499	2578126
chr1	2583410	2583569	2583506
chr1	2599910	2600729	2600256
chr1	2617350	2617679	2617496
chr1	2637330	2637629	2637496
chr1	2641880	2643529	2642786
chr1	2662500	2663449	2662916
chr1	2718780	2720099	2719366
chr1	2746980	2747059	2747016
chr1	2760920	2761819	2761466
chr1	2802300	2802389	2802346
chr1	2802580	2803879	2803456
chr1	2804280	2804349	2804326
chr1	2874370	2874509	2874426
chr1	2875320	2875629	2875496
chr1	2882390	2883109	2882756
chr1	2911060	2911209	2911176
chr1	2912750	2912929	2912846
chr1	2913680	2913799	2913746
chr1	2936900	2938049	2937086
chr1	2959090	2961009	2959706
chr1	2976560	2977539	2977216
chr1	2979270	2979389	2979316
chr1	2979510	2979689	2979596
chr1	2983130	2983209	2983206
chr1	3009510	3010119	3009896
chr1	3021860	3022839	3022386
chr1	3030730	3031269	3031086
chr1	3031980	3032249	3032096
chr1	3053030	3053269	3053166
chr1	3059450	3060329	3059766
chr1	3126810	3127379	3126916
chr1	3143040	3143619	3143306
chr1	3144070	3144169	3144116
chr1	3144300	3144989	3144686
chr1	3158200	3158509	3158356
chr1	3164400	3164479	3164476
chr1	3183400	3184819	3184416
chr1	3245570	3246219	3245896
chr1	3269430	3270099	3269906
chr1	3300180	3301089	3300646
chr1	3303180	3303459	3303386
chr1	3320040	3321429	3320666
chr1	3326670	3326739	3326696
chr1	3404180	3405369	3404766
chr1	3409720	3410849	3410106
chr1	3443720	3443879	3443806
chr1	3497450	3498449	3497946
chr1	3538680	3538839	3538796
chr1	3547870	3549069	3548786
chr1	3569800	3570279	3569956
chr1	3572850	3573429	3573256
chr1	3575670	3577369	3576546
chr1	3578190	3579189	3578556
chr1	3579370	3579639	3579516
chr1	3579850	3580359	3580106
chr1	3591890	3592199	3592056
chr1	3610350	3610579	3610426
chr1	3611740	3611959	3611866
chr1	3634260	3635409	3634776
chr1	3645080	3645189	3645146
chr1	3680250	3680339	3680296
chr1	3699880	3700849	3700426
chr1	3710700	3710889	3710836
chr1	3735930	3736609	3736426
chr1	3743640	3743709	3743666
chr1	3746670	3747199	3747016
chr1	3748960	3749229	3749176
chr1	3752280	3752919	3752566
chr1	3790210	3790619	3790486
chr1	3839930	3840679	3840436
chr1	3841440	3841509	3841486
chr1	3847900	3848139	3848016
chr1	3852100	3852769	3852346
chr1	3876200	3876459	3876306
chr1	3877340	3878819	3878026
chr1	3881320	3882219	3881776
chr1	3897370	3898059	3897526
chr1	3952110	3953549	3952766
chr1	3991500	3992339	3992146
chr1	3993650	3994119	3993866
chr1	3994400	3995849	3995346
chr1	4018530	4019649	4019036
chr1	4071370	4071919	4071626
chr1	4077970	4078049	4078006
chr1	4087720	4088589	4088096
chr1	4135760	4137319	4136356
chr1	4139680	4140259	4139956
chr1	4153360	4153429	4153386
chr1	4153670	4153969	4153876
chr1	4177910	4178029	4177976
chr1	4179370	4179949	4179696
chr1	4182510	4182989	4182926
chr1	4183830	4185309	4185016
chr1	4196420	4196999	4196716
chr1	4197260	4197319	4197316
chr1	4205470	4205669	4205546
chr1	4226660	4226769	4226706
chr1	4237780	4237879	4237826
chr1	4238660	4239499	4239006
chr1	4253590	4254409	4254126
chr1	4274210	4275129	4274636
chr1	4323230	4323379	4323326
chr1	4325230	4326509	4325816
chr1	4364470	4365529	4365086
chr1	4386050	4386549	4386316
chr1	4413990	4415129	4414646
chr1	4433680	4433769	4433716
chr1	4438360	4438999	4438606
chr1	4450100	4450579	4450316
chr1	4455040	4455139	4455096
chr1	4457760	4457949	4457816
chr1	4458690	4458939	4458786
chr1	4483060	4483139	4483096
chr1	4483310	4484039	4483706
chr1	4532650	4533669	4533256
chr1	4603410	4605129	4604636
chr1	4652180	4652939	4652656
chr1	4673570	4674359	4673986
chr1	4706230	4706769	4706386
chr1	4715190	4715319	4715196
chr1	4721380	4721669	4721526
chr1	4723210	4723309	4723246
chr1	4738980	4739729	4739336
chr1	4778300	4779309	4778866
chr1	4802740	4803079	4802956
chr1	4852210	4852889	4852666
chr1	4881420	4881969	4881696
chr1	4911380	4911589	4911496
chr1	4916250	4916339	4916286
chr1	4923640	4924119	4923846
chr1	4962680	4964199	4963046
chr1	4977980	4978429	4978306
chr1	4984320	4984519	4984436
chr1	5024010	5024989	5024656
chr1	5045120	5045769	5045456
chr1	5095860	5097149	5096546
chr1	5155050	5156079	5155656
chr1	5156420	5156749	5156606
chr1	5176800	5177949	5177736
chr1	5189200	5189459	5189376
chr1	5232730	5233069	5232876
chr1	5233300	5234029	5233496
chr1	5267750	5267909	5267826
chr1	5269440	5272019	5270776
chr1	5321440	5322429	5321776
chr1	5346070	5346219	5346156
chr1	5392640	5393389	5392846
chr1	5413370	5413739	5413536
chr1	5426860	5426959	5426916
chr1	5435090	5435899	5435316
chr1	5437650	5437739	5437696
chr1	5447830	5448849	5448566
chr1	5475950	5476229	5476126
chr1	5481690	5482449	5481986
chr1	5482830	5482939	5482886
chr1	5486680	5486839	5486766
chr1	5497580	5498189	5497756
chr1	5500780	5502219	5501236
chr1	5503290	5503449	5503376
chr1	5503940	5504219	5504006
chr1	5508480	5508719	5508586
